acl 2.2.53-3
llvm-libs 11.0.0-1
lm_sensors 3.6.0-2
lsb-release 1.4-18
luajit 2.0.5-3
luit 20201003-1
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
make 4.3-3
man-db 2.9.3-1
md4c 0.4.6-1
mesa 20.2.3-1
mkinitcpio 29-1
mkinitcpio-busybox 1.31.1-2
mpdecimal 2.5.0-1
mpfr 4.1.0-1
msgpack-c 3.3.0-1
mtdev 1.1.6-1
ncurses 6.2-1
neovim 0.4.4-1
netctl 1.23-1
nettle 3.6-1
nitrogen 1.6.1-3
noto-fonts-cjk 20190409-2
npth 1.6-2
nspr 4.29-1
nss 3.59-1
ntp 4.2.8.p15-1
opencc 1.1.1-3
openresolv 3.11.0-1
openssl 1.1.1.h-1
os-prober 1.77-2
p11-kit 0.23.21-1
pacman 5.2.2-1
pacman-mirrorlist 20201031-1
pam 1.5.0-1
pambase 20200721.1-2
pango 1:1.48.0-1
pangomm 2.42.1-2
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-3
perl-error 0.17029-2
perl-mailtools 2.21-4
perl-timedate 2.33-2
picom 8.2-1
pinentry 1.1.0-5
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.118-1
popt 1.18-1
procps-ng 3.3.16-2
psmisc 23.3-2
python 3.8.6-1
python-appdirs 1.4.4-3
python-asn1crypto 1.4.0-3
python-cachecontrol 0.12.6-3
python-cffi 1.14.4-1
python-chardet 3.0.4-7
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.2.1-3
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-filelock 3.0.12-5
python-html5lib 1.1-5
python-idna 2.10-3
python-msgpack 1.0.0-3
python-ordered-set 4.0.2-3
python-packaging 20.7-1
python-pep517 0.9.1-3
python-pip 20.2.1-1
python-ply 3.11-7
python-progress 1.5-5
python-pycparser 2.20-3
python-pyopenssl 20.0.0-1
python-pyparsing 2.4.7-3
python-requests 2.25.0-1
python-resolvelib 0.5.3-1
python-retrying 1.3.3-9
python-setuptools 1:50.3.2-4
python-six 1.15.0-3
python-stevedore 3.3.0-1
python-toml 0.10.2-3
python-urllib3 1.25.10-4
python-virtualenv 20.2.2-1
python-virtualenv-clone 0.5.4-3
python-virtualenvwrapper 4.8.4-5
python-webencodings 0.5.1-6
python36 3.6.12-1
qt5-base 5.15.2-1
qt5-declarative 5.15.2-1
qt5-svg 5.15.2-1
ranger 1.9.3-2
readline 8.0.004-1
rest 0.8.1-3
rhash 1.4.0-1
rofi 1.6.1-1
rust 1:1.48.0-1
screenfetch 3.9.1-1
sed 4.8-1
shadow 4.8.1-4
shared-mime-info 2.0+1+g6bf9e4f-2
sl 5.02-6
sound-theme-freedesktop 0.8-4
source-highlight 3.1.9-2
sqlite 3.33.0-2
startup-notification 0.12-7
sudo 1.9.3.p1-1
systemd 246.6-1
systemd-libs 246.6-1
systemd-sysvcompat 246.6-1
tar 1.32-3
tcl 8.6.10-2
tdb 1.4.3-2
texinfo 6.7-3
tk 8.6.10-2
tlp 1.3.1-2
tracker3 3.0.1-1
trayer 1.1.8-2
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-2
tzdata 2020d-1
unibilium 2.1.0-2
unzip 6.0-14
usbutils 013-1
util-linux 2.36.1-3
util-linux-libs 2.36.1-3
vi 1:070224-4
vim 8.2.1989-2
vim-runtime 8.2.1989-2
vulkan-icd-loader 1.2.158-1
wayland 1.18.0-2
wayland-protocols 1.20-1
wget 1.20.3-3
which 2.21-5
wpa_supplicant 2:2.9-7
xbitmaps 1.1.2-2
xcb-proto 1.14.1-1
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.30.0-1
xf86-video-vesa 2.5.0-1
xkeyboard-config 2.31-1
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.4-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.9.r21.g5c400cae1-2
xorg-server-common 1.20.9.r21.g5c400cae1-2
xorg-server-devel 1.20.9.r21.g5c400cae1-2
xorg-server-xephyr 1.20.9.r21.g5c400cae1-2
xorg-server-xnest 1.20.9.r21.g5c400cae1-2
xorg-server-xvfb 1.20.9.r21.g5c400cae1-2
xorg-server-xwayland 1.20.9.r21.g5c400cae1-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-util-macros 1.19.2-2
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.4-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xorgproto 2020.1-1
xterm 362-1
xz 5.2.5-1
yay 10.1.1-1
zlib 1:1.2.11-4
zsh 5.8-1
zstd 1.4.5-1
